testdir,nranks,epcnt,epsz,wrsz,blksz,access,bw(MiB/s),IOPS,Latency(s),block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),iter
/mnt/lt20ad1/fio-jobdir,16,3,372,1116M,1m,write,2970.31,2970.94,0.005177,1142784,1024.00,0.007582,6.01,0.349327,6.01,0,
/mnt/lt20ad1/fio-jobdir,16,6,372,2232M,1m,write,2985.23,2985.58,0.005219,2285568,1024.00,0.009969,11.96,0.310955,11.96,0,
/mnt/lt20ad1/fio-jobdir,16,9,372,3348M,1m,write,1199.25,1199.29,0.005068,3428352,1024.00,0.007966,44.67,28.50,44.67,0,
/mnt/lt20ad1/fio-jobdir,16,12,372,4464M,1m,
/mnt/lt20ad1/fio-jobdir,64,1,372,372M,1m,
/mnt/lt20ad1/fio-jobdir,64,3,372,1116M,1m,write,2093.79,2093.86,0.026183,1142784,1024.00,0.008140,34.11,25.24,34.11,0,
/mnt/lt20ad1/fio-jobdir,64,6,372,2232M,1m,write,2129.61,2129.65,0.027520,2285568,1024.00,0.012646,67.08,45.34,67.08,0,
/mnt/lt20ad1/fio-jobdir,64,9,372,3348M,1m,
/mnt/lt20ad1/fio-jobdir,64,12,372,4464M,1m,write,1746.04,1746.06,0.017189,4571136,1024.00,0.007629,163.62,101.53,163.62,0,
/mnt/lt20ad1/fio-jobdir,512,1,372,372M,1m,
/mnt/lt20ad1/fio-jobdir,512,3,372,1116M,1m,write,2047.14,2047.15,0.221451,1142784,1024.00,0.015148,279.12,171.15,279.12,0,
/mnt/lt20ad1/fio-jobdir,512,6,372,2232M,1m,
/mnt/lt20ad1/fio-jobdir,512,9,372,3348M,1m,write,1992.96,1992.97,0.240000,3428352,1024.00,0.020349,860.11,452.35,860.11,0,
/mnt/lt20ad1/fio-jobdir,512,12,372,4464M,1m,write,1761.58,1761.58,0.272119,4571136,1024.00,0.037019,1297.45,839.36,1297.45,0,
/mnt/lt20ad2/fio-jobdir,16,1,372,372M,1m,
/mnt/lt20ad2/fio-jobdir,16,3,372,1116M,1m,write,2797.56,2798.24,0.005486,1142784,1024.00,0.013031,6.38,0.462536,6.38,0,
/mnt/lt20ad2/fio-jobdir,16,6,372,2232M,1m,
/mnt/lt20ad2/fio-jobdir,16,9,372,3348M,1m,write,1339.61,1339.66,0.004920,3428352,1024.00,0.012049,39.99,23.99,39.99,0,
/mnt/lt20ad2/fio-jobdir,16,12,372,4464M,1m,write,789.13,789.14,0.007101,4571136,1024.00,0.007555,90.51,65.25,90.51,0,
/mnt/lt20ad2/fio-jobdir,64,1,372,372M,1m,write,3178.55,3178.99,0.016681,380928,1024.00,0.007216,7.49,5.38,7.49,0,
/mnt/lt20ad2/fio-jobdir,64,3,372,1116M,1m,write,1977.61,1977.68,0.014551,1142784,1024.00,0.009439,36.12,24.97,36.12,0,
/mnt/lt20ad2/fio-jobdir,64,6,372,2232M,1m,write,1967.92,1967.96,0.030272,2285568,1024.00,0.013716,72.59,56.56,72.59,0,
/mnt/lt20ad2/fio-jobdir,64,9,372,3348M,1m,write,1826.92,1826.94,0.023993,3428352,1024.00,0.010396,117.28,94.86,117.29,0,
/mnt/lt20ad2/fio-jobdir,64,12,372,4464M,1m,write,1757.70,1757.71,0.034066,4571136,1024.00,0.011248,162.54,114.68,162.54,0,
