,runtype,run,nranks,epcnt,intvl,pvtcnt,epoch1_wr_min,epoch1_wr_max,load_std,wr_dropped,epoch1_tmin,epoch1_tmax,max_fin_dura,total_io_time,epoch2_wr_min,epoch2_wr_max,epoch3_wr_min,epoch3_wr_max,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,epoch4_wr_min,epoch4_wr_max,epoch5_wr_min,epoch5_wr_max,epoch6_wr_min,epoch6_wr_max,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax
94,carp-suite-interepoch,12,1024,1,1,512,160400,4600000,0.347,0,42321.0,65030.0,9280.742,74310.973,,,,,,,,,,,,,,,,,,,,
95,carp-suite-interepoch,15,1024,1,1,512,309600,4099999,0.15,0,38536.0,64730.00000000001,14981.259,79711.17099999999,,,,,,,,,,,,,,,,,,,,
96,carp-suite-interepoch,13,128,6,1,512,6200000,8100000,0.037,0,38757.0,38837.0,702.6569999999999,231800.943,4400000.0,7200000.0,4300000.0,7100000.0,36790.0,36938.0,38663.0,38895.0,5300000.0,7600000.0,5400000.0,7600000.0,4500000.0,7200000.0,39098.0,39267.0,38983.0,39158.0,37871.0,38003.0
97,carp-suite-interepoch,12,256,3,1,512,6200000,9200000,0.042,0,29892.0,30072.0,26669.416999999998,120375.772,5900000.0,9000000.0,5900000.0,8300000.0,32424.999999999996,32762.0,30643.0,30872.0,,,,,,,,,,,,
98,carp-suite-interepoch,14,512,1,1,512,255100,9500000,0.422,0,47459.0,57785.0,12894.728000000001,70679.83499999999,,,,,,,,,,,,,,,,,,,,
99,carp-suite-interepoch,14,1024,1,1,512,186000,4400000,0.276,0,40810.0,60258.0,18843.176,79101.446,,,,,,,,,,,,,,,,,,,,
100,carp-suite-interepoch,14,128,6,1,512,6200000,8300000,0.033,0,37338.0,37440.0,455.929,233074.036,5900000.0,8100000.0,6200000.0,8100000.0,37611.0,37744.0,37695.0,37805.0,3800000.0,7600000.0,5800000.0,7900000.0,5500000.0,7600000.0,37010.0,37181.0,38346.0,38538.0,43761.0,43909.0
101,carp-suite-interepoch,11,128,6,3,2048,4300000,7200000,0.05,0,38496.0,38589.0,366.20599999999996,227318.04,4300000.0,7200000.0,4300000.0,7200000.0,38092.0,38249.0,36664.0,36755.0,4700000.0,7600000.0,4700000.0,7600000.0,4700000.0,7600000.0,38916.0,39042.0,36682.0,36766.0,37436.0,37551.0
102,carp-suite-interepoch,11,256,3,1,2048,6200000,9300000,0.048,0,30832.0,30947.0,35866.765999999996,131289.629,4900000.0,8400000.0,5000000.0,8300000.0,30417.0,30561.0,33625.0,33914.0,,,,,,,,,,,,
103,carp-suite-interepoch,12,512,1,1,512,166100,15200000,0.408,0,53950.0,57631.0,22762.668999999998,80393.769,,,,,,,,,,,,,,,,,,,,
