,runtype,nranks,epcnt,intvl,pvtcnt,run,total_io_time,load_std
271,carp-suite-intraepoch-skipsort,128,6,500000,512,45,235,0.042
255,carp-suite-intraepoch-skipsort,128,6,500000,512,46,241,0.06
346,carp-suite-intraepoch-skipsort,128,6,500000,512,47,237,0.054
258,carp-suite-intraepoch-skipsort,128,6,500000,512,48,238,0.043
410,carp-suite-intraepoch-skipsort,128,6,500000,512,49,241,0.056
394,carp-suite-intraepoch-skipsort,128,6,500000,512,50,232,0.04
345,carp-suite-intraepoch-skipsort,128,6,750000,512,11,243,0.056
281,carp-suite-intraepoch-skipsort,128,6,750000,1024,11,223,0.042
390,carp-suite-intraepoch-skipsort,128,6,750000,2048,11,232,0.041
302,carp-suite-intraepoch-skipsort,128,6,1000000,512,11,222,0.044
197,carp-suite-intraepoch-skipsort,128,6,1000000,1024,11,225,0.043
225,carp-suite-intraepoch-skipsort,128,6,1000000,2048,11,240,0.045
275,carp-suite-intraepoch-skipsort,256,3,500000,512,41,171,0.064
209,carp-suite-intraepoch-skipsort,256,3,500000,512,42,136,0.074
294,carp-suite-intraepoch-skipsort,256,3,500000,512,43,137,0.068
350,carp-suite-intraepoch-skipsort,256,3,500000,512,44,135,0.079
372,carp-suite-intraepoch-skipsort,256,3,500000,512,45,151,0.075
407,carp-suite-intraepoch-skipsort,256,3,500000,512,46,172,0.055
325,carp-suite-intraepoch-skipsort,256,3,500000,512,47,154,0.095
300,carp-suite-intraepoch-skipsort,256,3,500000,512,48,180,0.045
349,carp-suite-intraepoch-skipsort,256,3,500000,512,49,125,0.066
384,carp-suite-intraepoch-skipsort,256,3,500000,512,50,129,0.069
386,carp-suite-intraepoch-skipsort,256,3,750000,512,11,155,0.095
303,carp-suite-intraepoch-skipsort,256,3,750000,1024,11,145,0.066
287,carp-suite-intraepoch-skipsort,256,3,750000,2048,11,121,0.043
262,carp-suite-intraepoch-skipsort,256,3,1000000,512,11,149,0.066
263,carp-suite-intraepoch-skipsort,256,3,1000000,1024,11,145,0.074
298,carp-suite-intraepoch-skipsort,256,3,1000000,2048,11,158,0.045
193,carp-suite-intraepoch-skipsort,512,1,250000,64,41,84,0.143
362,carp-suite-intraepoch-skipsort,512,1,250000,64,42,71,0.148
293,carp-suite-intraepoch-skipsort,512,1,250000,64,43,68,0.137
279,carp-suite-intraepoch-skipsort,512,1,250000,64,44,68,0.138
212,carp-suite-intraepoch-skipsort,512,1,250000,64,45,67,0.135
244,carp-suite-intraepoch-skipsort,512,1,250000,128,41,74,0.103
313,carp-suite-intraepoch-skipsort,512,1,250000,128,42,56,0.088
256,carp-suite-intraepoch-skipsort,512,1,250000,128,43,68,0.095
273,carp-suite-intraepoch-skipsort,512,1,250000,128,44,67,0.087
412,carp-suite-intraepoch-skipsort,512,1,250000,128,45,68,0.087
326,carp-suite-intraepoch-skipsort,512,1,250000,256,41,62,0.068
265,carp-suite-intraepoch-skipsort,512,1,250000,256,42,75,0.057
339,carp-suite-intraepoch-skipsort,512,1,250000,256,43,77,0.065
283,carp-suite-intraepoch-skipsort,512,1,250000,256,44,75,0.07
320,carp-suite-intraepoch-skipsort,512,1,250000,256,45,49,0.058
324,carp-suite-intraepoch-skipsort,512,1,250000,512,41,65,0.037
367,carp-suite-intraepoch-skipsort,512,1,250000,512,42,65,0.037
217,carp-suite-intraepoch-skipsort,512,1,250000,512,43,78,0.04
289,carp-suite-intraepoch-skipsort,512,1,250000,512,44,67,0.037
261,carp-suite-intraepoch-skipsort,512,1,250000,512,45,69,0.041
291,carp-suite-intraepoch-skipsort,512,1,250000,1024,41,72,0.043
341,carp-suite-intraepoch-skipsort,512,1,250000,1024,42,70,0.03
383,carp-suite-intraepoch-skipsort,512,1,250000,1024,43,58,0.035
226,carp-suite-intraepoch-skipsort,512,1,250000,1024,44,70,0.029
301,carp-suite-intraepoch-skipsort,512,1,250000,1024,45,66,0.023
285,carp-suite-intraepoch-skipsort,512,1,250000,2048,41,85,0.028
416,carp-suite-intraepoch-skipsort,512,1,250000,2048,42,72,0.023
216,carp-suite-intraepoch-skipsort,512,1,250000,2048,43,76,0.019
321,carp-suite-intraepoch-skipsort,512,1,250000,2048,44,74,0.019
397,carp-suite-intraepoch-skipsort,512,1,250000,2048,45,67,0.034
405,carp-suite-intraepoch-skipsort,512,1,500000,64,41,68,0.127
248,carp-suite-intraepoch-skipsort,512,1,500000,64,42,67,0.136
312,carp-suite-intraepoch-skipsort,512,1,500000,64,43,67,0.129
347,carp-suite-intraepoch-skipsort,512,1,500000,64,44,58,0.136
327,carp-suite-intraepoch-skipsort,512,1,500000,64,45,66,0.141
414,carp-suite-intraepoch-skipsort,512,1,500000,128,41,67,0.086
387,carp-suite-intraepoch-skipsort,512,1,500000,128,42,54,0.088
396,carp-suite-intraepoch-skipsort,512,1,500000,128,43,76,0.089
316,carp-suite-intraepoch-skipsort,512,1,500000,128,44,58,0.085
297,carp-suite-intraepoch-skipsort,512,1,500000,128,45,67,0.097
382,carp-suite-intraepoch-skipsort,512,1,500000,256,41,72,0.063
359,carp-suite-intraepoch-skipsort,512,1,500000,256,42,64,0.06
334,carp-suite-intraepoch-skipsort,512,1,500000,256,43,75,0.072
210,carp-suite-intraepoch-skipsort,512,1,500000,256,44,66,0.065
224,carp-suite-intraepoch-skipsort,512,1,500000,256,45,65,0.064
235,carp-suite-intraepoch-skipsort,512,1,500000,512,41,58,0.037
233,carp-suite-intraepoch-skipsort,512,1,500000,512,42,67,0.058
200,carp-suite-intraepoch-skipsort,512,1,500000,512,43,75,0.046
411,carp-suite-intraepoch-skipsort,512,1,500000,512,44,57,0.045
195,carp-suite-intraepoch-skipsort,512,1,500000,512,45,80,0.048
402,carp-suite-intraepoch-skipsort,512,1,500000,512,46,57,0.062
401,carp-suite-intraepoch-skipsort,512,1,500000,512,47,72,0.045
399,carp-suite-intraepoch-skipsort,512,1,500000,512,48,57,0.046
249,carp-suite-intraepoch-skipsort,512,1,500000,512,49,68,0.039
337,carp-suite-intraepoch-skipsort,512,1,500000,512,50,90,0.059
219,carp-suite-intraepoch-skipsort,512,1,500000,1024,41,67,0.048
361,carp-suite-intraepoch-skipsort,512,1,500000,1024,42,58,0.059
270,carp-suite-intraepoch-skipsort,512,1,500000,1024,43,65,0.049
247,carp-suite-intraepoch-skipsort,512,1,500000,1024,44,66,0.034
234,carp-suite-intraepoch-skipsort,512,1,500000,1024,45,79,0.042
206,carp-suite-intraepoch-skipsort,512,1,500000,2048,41,67,0.026
343,carp-suite-intraepoch-skipsort,512,1,500000,2048,42,71,0.053
259,carp-suite-intraepoch-skipsort,512,1,500000,2048,43,69,0.042
204,carp-suite-intraepoch-skipsort,512,1,500000,2048,44,67,0.033
374,carp-suite-intraepoch-skipsort,512,1,500000,2048,45,65,0.04
309,carp-suite-intraepoch-skipsort,512,1,750000,64,41,58,0.141
336,carp-suite-intraepoch-skipsort,512,1,750000,64,42,50,0.142
342,carp-suite-intraepoch-skipsort,512,1,750000,64,43,76,0.145
274,carp-suite-intraepoch-skipsort,512,1,750000,64,44,65,0.138
239,carp-suite-intraepoch-skipsort,512,1,750000,64,45,76,0.133
364,carp-suite-intraepoch-skipsort,512,1,750000,128,41,69,0.094
358,carp-suite-intraepoch-skipsort,512,1,750000,128,42,76,0.103
400,carp-suite-intraepoch-skipsort,512,1,750000,128,43,78,0.093
318,carp-suite-intraepoch-skipsort,512,1,750000,128,44,69,0.09
221,carp-suite-intraepoch-skipsort,512,1,750000,128,45,67,0.091
403,carp-suite-intraepoch-skipsort,512,1,750000,256,41,76,0.072
196,carp-suite-intraepoch-skipsort,512,1,750000,256,42,58,0.072
198,carp-suite-intraepoch-skipsort,512,1,750000,256,43,57,0.081
417,carp-suite-intraepoch-skipsort,512,1,750000,256,44,75,0.067
296,carp-suite-intraepoch-skipsort,512,1,750000,256,45,57,0.069
340,carp-suite-intraepoch-skipsort,512,1,750000,512,11,101,0.05
413,carp-suite-intraepoch-skipsort,512,1,750000,512,41,67,0.058
377,carp-suite-intraepoch-skipsort,512,1,750000,512,42,72,0.056
228,carp-suite-intraepoch-skipsort,512,1,750000,512,43,68,0.066
368,carp-suite-intraepoch-skipsort,512,1,750000,512,44,56,0.062
306,carp-suite-intraepoch-skipsort,512,1,750000,512,45,64,0.07
351,carp-suite-intraepoch-skipsort,512,1,750000,1024,11,72,0.554
292,carp-suite-intraepoch-skipsort,512,1,750000,1024,41,69,0.036
