,runtype,run,nranks,epcnt,intvl,pvtcnt,epoch1_wr_min,epoch1_wr_max,load_std,wr_dropped,epoch1_tmin,epoch1_tmax,max_fin_dura,total_io_time,epoch2_wr_min,epoch2_wr_max,epoch3_wr_min,epoch3_wr_max,epoch4_wr_min,epoch4_wr_max,epoch5_wr_min,epoch5_wr_max,epoch6_wr_min,epoch6_wr_max,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax
84,carp-suite-intraepoch-skipsort,11,256,3,1000000,2048,4600000,8000000,0.045,0,28033.0,28157.0,35017.539,158794.827,4600000.0,8000000.0,4600000.0,8000000.0,,,,,,,36273.0,36431.0,59055.0,59189.0,,,,,,
85,carp-suite-intraepoch-skipsort,11,512,1,1000000,2048,171800,12000000,0.527,0,53792.0,53985.0,13594.931,67580.091,,,,,,,,,,,,,,,,,,,,
86,carp-suite-intraepoch-skipsort,45,512,1,250000,1024,3700000,7900000,0.023,0,53541.0,53723.0,13113.823999999999,66836.81300000001,,,,,,,,,,,,,,,,,,,,
87,carp-suite-intraepoch-skipsort,11,128,6,1000000,512,4800000,7400000,0.044,0,36029.0,36142.0,221.047,222374.484,4800000.0,7400000.0,4800000.0,7400000.0,4800000.0,7400000.0,4800000.0,7400000.0,4800000.0,7400000.0,36825.0,37015.0,36356.0,36476.0,37000.0,37106.0,36852.0,36992.0,38210.0,38423.0
88,carp-suite-intraepoch-skipsort,11,256,3,750000,1024,6200000,10300000,0.066,0,32992.0,33123.0,35286.079,145494.125,6200000.0,10300000.0,6200000.0,10300000.0,,,,,,,39024.0,39199.0,35724.0,37885.0,,,,,,
89,carp-suite-intraepoch-skipsort,45,512,1,1000000,1024,3900000,8400000,0.063,0,38848.0,48375.0,21734.022,70108.874,,,,,,,,,,,,,,,,,,,,
90,carp-suite-intraepoch-skipsort,42,512,1,1000000,128,308200,9700000,0.079,0,42247.0,52195.0,24348.614,76543.555,,,,,,,,,,,,,,,,,,,,
91,carp-suite-intraepoch-skipsort,45,512,1,750000,512,2100000,11200000,0.07,0,39042.0,44251.0,20608.962,64860.34100000001,,,,,,,,,,,,,,,,,,,,
92,carp-suite-intraepoch-skipsort,45,512,1,3000000,128,62400,11200000,0.147,0,57523.0,57702.0,17879.484,75581.279,,,,,,,,,,,,,,,,,,,,
93,carp-suite-intraepoch-skipsort,41,512,1,750000,64,17100,10100000,0.141,0,36214.0,37050.0,21348.014,58397.748,,,,,,,,,,,,,,,,,,,,
94,carp-suite-intraepoch-skipsort,11,1024,1,1000000,1024,200000,4000000,0.299,0,39835.0,50431.0,16712.583,67143.337,,,,,,,,,,,,,,,,,,,,
95,carp-suite-intraepoch-skipsort,43,512,1,3000000,2048,3600000,12000000,0.186,0,68962.0,69209.0,4233.639,73442.34,,,,,,,,,,,,,,,,,,,,
96,carp-suite-intraepoch-skipsort,43,512,1,500000,64,10200,10300000,0.129,0,44621.0,44773.0,22697.749000000003,67471.128,,,,,,,,,,,,,,,,,,,,
97,carp-suite-intraepoch-skipsort,42,512,1,250000,128,217900,10000000,0.088,0,47493.0,47660.0,8662.595,56322.6,,,,,,,,,,,,,,,,,,,,
98,carp-suite-intraepoch-skipsort,44,512,1,750000,2048,5700000,10300000,0.044,0,35255.0,37332.0,20026.969999999998,57358.545999999995,,,,,,,,,,,,,,,,,,,,
99,carp-suite-intraepoch-skipsort,44,512,1,500000,128,533000,8800000,0.085,0,47405.0,47522.0,10665.637999999999,58188.127,,,,,,,,,,,,,,,,,,,,
100,carp-suite-intraepoch-skipsort,44,512,1,750000,128,19800,9600000,0.09,0,35478.0,35617.0,34005.197,69622.158,,,,,,,,,,,,,,,,,,,,
101,carp-suite-intraepoch-skipsort,45,512,1,250000,256,120600,8600000,0.058,0,47060.0,47242.0,2463.429,49705.244,,,,,,,,,,,,,,,,,,,,
102,carp-suite-intraepoch-skipsort,44,512,1,250000,2048,5800000,8000000,0.019,0,56135.0,56309.0,18444.037,74752.785,,,,,,,,,,,,,,,,,,,,
103,carp-suite-intraepoch-skipsort,44,512,1,1000000,128,80000,13700000,0.109,0,36424.0,37861.0,31631.463,69492.65800000001,,,,,,,,,,,,,,,,,,,,
