,runtype,run,nranks,epcnt,epoch1_wr_min,epoch1_wr_max,epoch2_wr_min,epoch2_wr_max,epoch3_wr_min,epoch3_wr_max,epoch4_wr_min,epoch4_wr_max,epoch5_wr_min,epoch5_wr_max,epoch6_wr_min,epoch6_wr_max,epoch7_wr_min,epoch7_wr_max,epoch8_wr_min,epoch8_wr_max,load_std,wr_dropped,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax,epoch7_tmin,epoch7_tmax,epoch8_tmin,epoch8_tmax,epoch9_tmin,epoch9_tmax,epoch10_tmin,epoch10_tmax,epoch11_tmin,epoch11_tmax,epoch12_tmin,epoch12_tmax,max_fin_dura,total_io_time,epoch9_wr_min,epoch9_wr_max,epoch1_tmin,epoch1_tmax,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,epoch4_tmin,epoch4_tmax,epoch10_wr_min,epoch10_wr_max,epoch11_wr_min,epoch11_wr_max,epoch12_wr_min,epoch12_wr_max
114,network-suite-1hopsim,1,128,12,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,18558.0,38466.0,30170.0,48973.0,20195.0,51124.0,29678.0,48208.0,19519.0,42478.0,25039.0,58738.0,16947.0,40745.0,23472.0,54204.0,3.693,553689.9029999999,6500000.0,6600000.0,22929.0,33923.0,23605.0,41970.0,25662.0,44483.0,30483.0,50374.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0
115,dfs-seq-suite,3,256,12,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,52835.0,58149.0,42818.0,52298.0,42939.0,51604.0,36866.0,47601.0,37993.0,53431.0,37695.0,47612.0,42359.0,50939.0,21970.0,39252.0,26756.775999999998,579271.085,6500000.0,6600000.0,,,,,20747.0,23352.0,48962.0,58848.0,6500000.0,6600000.0,6500000.0,6600000.0,,
116,dfs-seq-suite,3,512,12,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,42827.0,103409.0,54712.0,144672.0,37647.0,140488.0,31971.0,140980.0,92148.0,222612.0,48496.0,153936.0,95538.0,225477.0,73929.0,198252.0,7027.454,1744093.3439999998,6500000.0,6600000.0,,,,,64150.00000000001,109372.0,77362.0,116868.0,6500000.0,6600000.0,6500000.0,6600000.0,,
117,dfs-seq-suite,3,128,12,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,31147.0,41001.0,31104.0,39642.0,30786.0,40646.0,30474.0,43933.0,30692.0,43984.0,30079.0,43282.0,30445.0,44074.0,32417.0,45194.0,520.2710000000001,490652.396,6500000.0,6600000.0,,,,,31283.0,36176.0,30935.0,38802.0,6500000.0,6600000.0,6500000.0,6600000.0,,
118,dfs-seq-suite,2,512,12,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,32901.0,126869.0,34681.0,133992.0,31060.0,144127.0,33454.0,189094.0,38884.0,131958.0,33059.0,213423.0,34833.0,145190.0,36752.0,125769.0,1043.006,1702074.6039999998,6500000.0,6600000.0,,,,,51616.0,95055.0,41904.0,112581.0,6500000.0,6600000.0,6500000.0,6600000.0,,
119,dfs-seq-suite,3,32,12,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,76149.0,76521.0,77747.0,78177.0,75642.0,75904.0,78520.0,79406.0,78031.0,78588.0,80005.0,80659.0,79214.0,80121.0,78038.0,78779.0,104.116,943251.892,6500000.0,6600000.0,,,81829.0,82070.0,79301.0,80217.0,76566.0,77249.0,6500000.0,6600000.0,6500000.0,6600000.0,,
120,dfs-seq-suite,3,16,12,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,13510.0,13524.0,14144.0,14162.0,14650.0,14683.0,14420.0,14445.0,15164.0,15189.0,15098.0,15108.0,15427.0,15438.0,15556.0,15584.0,67.205,165608.303,6500000.0,6600000.0,9868.0,9877.0,12044.0,12056.0,12374.0,12389.0,13067.0,13086.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0
121,dfs-seq-suite,3,64,12,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,42676.0,63722.0,41855.0,65352.00000000001,44425.0,67472.0,42834.0,67682.0,41018.0,65691.0,40625.0,69924.0,39812.0,67752.0,42025.0,69589.0,246.35199999999998,760300.344,6500000.0,6600000.0,,,,,50518.0,57849.0,47451.0,59366.0,6500000.0,6600000.0,6500000.0,6600000.0,,
122,dfs-seq-suite,1,512,6,6500000,6700000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,13100000.0,6500000.0,6600000.0,,,,,0,0,68182.0,241819.0,64739.99999999999,244075.0,,,,,,,,,,,,,1267.153,1332309.808,,,66384.0,177206.0,55092.0,201929.0,52452.0,228574.0,70750.0,237438.0,,,,,,
123,dfs-seq-suite,1,64,12,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,48229.0,61429.0,49580.0,63275.0,47113.0,63396.0,48200.0,68185.0,49498.0,68190.0,50527.0,68455.0,49448.0,69438.0,52663.0,69507.0,286.919,748715.3319999999,6500000.0,6600000.0,,,,,49135.0,55596.0,47178.0,59180.0,6500000.0,6600000.0,6500000.0,6600000.0,,
