,runtype,run,nranks,epcnt,epoch1_wr_min,epoch1_wr_max,load_std,wr_dropped,epoch1_tmin,epoch1_tmax,max_fin_dura,total_io_time,epoch2_wr_min,epoch2_wr_max,epoch3_wr_min,epoch3_wr_max,epoch4_wr_min,epoch4_wr_max,epoch5_wr_min,epoch5_wr_max,epoch6_wr_min,epoch6_wr_max,epoch7_wr_min,epoch7_wr_max,epoch8_wr_min,epoch8_wr_max,epoch9_wr_min,epoch9_wr_max,epoch10_wr_min,epoch10_wr_max,epoch11_wr_min,epoch11_wr_max,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax,epoch7_tmin,epoch7_tmax,epoch8_tmin,epoch8_tmax,epoch9_tmin,epoch9_tmax,epoch10_tmin,epoch10_tmax,epoch11_tmin,epoch11_tmax,epoch12_tmin,epoch12_tmax
36,dfs-ioonly,43,128,6,6500000,6500000,0,0,6154.0,6925.0,18140.703999999998,166817.082,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,,,,,6383.0,7504.0,5739.0,28262.0,5358.0,36077.0,5656.0,35194.0,5485.0,34715.0,,,,,,,,,,,,
37,dfs-ioonly,11,256,3,6500000,6500000,0,0,3647.0,22120.0,18306.217,125823.318,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,,,,,,,,,,,6076.0,19801.0,4814.0,65596.0,,,,,,,,,,,,,,,,,,
38,dfs-ioonly,41,128,6,6500000,6500000,0,0,5609.0,9353.0,10611.146,91161.053,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,,,,,6125.0,10494.0,6087.0,12351.0,5676.0,15686.0,5820.0,16794.0,5684.0,15873.0,,,,,,,,,,,,
39,dfs-ioonly,20,128,6,6500000,6500000,0,0,6007.0,6967.0,28034.275,135065.051,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,,,,,6252.0,13184.0,5359.0,18526.0,5660.0,16698.0,5597.0,17059.0,5648.0,34597.0,,,,,,,,,,,,
40,dfs-ioonly,14,1024,1,3300000,3300000,0,0,3080.0,59551.0,45364.565,104915.87800000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,dfs-ioonly,19,64,12,6500000,6500000,0,0,,,8418.742,132605.266,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6207.0,7571.0,6393.0,7314.0,6175.0,7419.0,5801.0,13206.0,5904.0,12419.0,6094.0,11916.0,6130.0,11324.0,6172.0,11638.0,6077.0,11169.0,5889.0,11291.0,6081.0,11896.0
42,dfs-ioonly,44,256,3,6500000,6500000,0,0,5915.0,6867.0,51973.807,164060.823,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,,,,,,,,,,,5956.0,32865.0,5308.0,72355.0,,,,,,,,,,,,,,,,,,
43,dfs-ioonly,18,64,12,6500000,6500000,0,0,,,8521.94,111506.548,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6348.0,7384.0,6276.0,7469.0,6467.0,7386.0,6438.0,7263.0,6188.0,9464.0,5900.0,9372.0,5986.0,9756.0,6126.0,9401.0,6160.0,9449.0,6191.0,9730.0,6201.0,9351.0
44,dfs-ioonly,44,128,6,6500000,6500000,0,0,5967.0,6981.0,28738.909,166444.506,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,,,,,6204.0,7357.0,5866.0,21152.0,5822.0,21694.0,5852.0,43855.0,5612.0,36665.0,,,,,,,,,,,,
45,dfs-ioonly,18,32,12,6500000,6500000,0,0,,,279.752,87556.122,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6342.0,7387.0,6405.0,7276.0,6432.0,7228.0,6388.0,7319.0,6350.0,7225.0,6408.0,7293.0,6321.0,7154.0,6490.0,7364.0,6216.0,7344.0,5999.0,7211.0,6128.0,7400.0
