,runtype,nranks,epcnt,intvl,pvtcnt,run,total_io_time,load_std
139,carp-suite-intraepoch-skipsort,512,1,1000000,512,11,67,0.317
134,carp-suite-intraepoch-skipsort,512,1,1000000,1024,11,86,0.571
127,carp-suite-intraepoch-skipsort,512,1,1000000,2048,11,67,0.527
120,carp-suite-intraepoch-skipsort,1024,1,750000,512,11,89,0.098
119,carp-suite-intraepoch-skipsort,1024,1,750000,1024,11,90,0.3
135,carp-suite-intraepoch-skipsort,1024,1,750000,2048,11,64,0.226
117,carp-suite-intraepoch-skipsort,1024,1,1000000,512,11,55,0.228
130,carp-suite-intraepoch-skipsort,1024,1,1000000,1024,11,67,0.299
136,carp-suite-intraepoch-skipsort,1024,1,1000000,2048,11,68,0.267
21,carp-suite-intrapoch-skipsort,32,12,1,512,16,965,0.05
43,carp-suite-intrapoch-skipsort,32,12,1,512,17,938,0.052
45,carp-suite-intrapoch-skipsort,32,12,1,512,18,979,0.044
40,carp-suite-intrapoch-skipsort,32,12,1,512,19,952,0.107
34,carp-suite-intrapoch-skipsort,32,12,1,512,20,951,0.029
0,carp-suite-intrapoch-skipsort,64,12,1,512,16,631,0.033
37,carp-suite-intrapoch-skipsort,64,12,1,512,17,630,0.033
30,carp-suite-intrapoch-skipsort,64,12,1,512,18,631,0.041
5,carp-suite-intrapoch-skipsort,64,12,1,512,19,635,0.033
39,carp-suite-intrapoch-skipsort,64,12,1,512,20,634,0.031
17,carp-suite-intrapoch-skipsort,128,6,1,512,12,224,0.037
29,carp-suite-intrapoch-skipsort,128,6,1,512,13,226,0.048
36,carp-suite-intrapoch-skipsort,128,6,1,512,14,227,0.036
22,carp-suite-intrapoch-skipsort,128,6,1,512,15,226,0.035
8,carp-suite-intrapoch-skipsort,128,6,1,512,16,224,0.046
25,carp-suite-intrapoch-skipsort,128,6,1,512,17,226,0.037
1,carp-suite-intrapoch-skipsort,128,6,1,512,18,229,0.039
11,carp-suite-intrapoch-skipsort,128,6,1,512,19,238,0.035
38,carp-suite-intrapoch-skipsort,128,6,1,512,20,228,0.04
31,carp-suite-intrapoch-skipsort,256,3,1,512,12,143,0.05
7,carp-suite-intrapoch-skipsort,256,3,1,512,13,165,0.06
24,carp-suite-intrapoch-skipsort,256,3,1,512,14,134,0.047
10,carp-suite-intrapoch-skipsort,256,3,1,512,15,158,0.036
15,carp-suite-intrapoch-skipsort,256,3,1,512,16,148,0.063
32,carp-suite-intrapoch-skipsort,256,3,1,512,17,146,0.05
19,carp-suite-intrapoch-skipsort,256,3,1,512,18,131,0.052
23,carp-suite-intrapoch-skipsort,256,3,1,512,19,149,0.05
42,carp-suite-intrapoch-skipsort,256,3,1,512,20,141,0.056
44,carp-suite-intrapoch-skipsort,512,1,1,512,12,82,0.325
13,carp-suite-intrapoch-skipsort,512,1,1,512,13,70,0.134
