,runtype,run,nranks,epcnt,epoch1_wr_min,epoch1_wr_max,load_std,wr_dropped,epoch1_tmin,epoch1_tmax,max_fin_dura,total_io_time,epoch2_wr_min,epoch2_wr_max,epoch3_wr_min,epoch3_wr_max,epoch4_wr_min,epoch4_wr_max,epoch5_wr_min,epoch5_wr_max,epoch6_wr_min,epoch6_wr_max,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax,epoch7_wr_min,epoch7_wr_max,epoch8_wr_min,epoch8_wr_max,epoch9_wr_min,epoch9_wr_max,epoch10_wr_min,epoch10_wr_max,epoch11_wr_min,epoch11_wr_max,epoch7_tmin,epoch7_tmax,epoch8_tmin,epoch8_tmax,epoch9_tmin,epoch9_tmax,epoch10_tmin,epoch10_tmax,epoch11_tmin,epoch11_tmax,epoch12_tmin,epoch12_tmax
61,network-suite,17,128,6,6500000,6600000,0,0,33693.0,35952.0,66.854,214442.33500000002,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,33679.0,35875.0,32269.0,36181.0,32580.0,34731.0,33811.0,35398.0,32821.0,36239.0,,,,,,,,,,,,,,,,,,,,,,
62,network-suite,12,512,1,6500000,6600000,0,0,24671.0,26863.0,99.483,26962.809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,network-suite,16,128,6,6500000,6600000,0,0,33087.0,35789.0,37.92,213622.12600000002,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,32848.0,34228.0,33648.0,35850.0,33688.0,36999.0,32073.999999999996,34996.0,31561.0,35722.0,,,,,,,,,,,,,,,,,,,,,,
64,network-suite,19,32,12,6500000,6600000,0,0,,,9.673,927456.937,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,,,76733.0,76938.0,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,77876.0,80120.0,76121.0,76306.0,75058.0,75784.0,76153.0,76655.0,76924.0,77144.0,78813.0,79328.0
65,network-suite,16,32,12,6500000,6600000,0,0,,,14.604000000000001,934331.063,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,,,77118.0,78423.0,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,79057.0,79542.0,76884.0,77012.0,76335.0,77784.0,77653.0,78291.0,76350.0,76728.0,77074.0,77800.0
66,network-suite,20,512,1,6500000,6600000,0,0,24607.0,26840.0,95.876,26935.431999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,network-suite,15,256,3,6500000,6600000,0,0,23918.0,25361.0,122.20599999999999,78186.319,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,23403.0,26642.0,23617.0,26061.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,network-suite,17,32,12,6500000,6600000,0,0,,,6.472,932519.9720000001,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,,,77314.0,77676.0,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,76196.0,77549.0,77033.0,77624.0,77006.0,77588.0,76969.0,77966.0,77502.0,79666.0,75557.0,75780.0
69,network-suite,15,512,1,6500000,6600000,0,0,24284.0,26994.0,147.741,27142.081000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,network-suite,11,256,3,6500000,6600000,0,0,23957.0,25666.0,66.107,77978.82400000001,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,23682.0,26220.0,24240.0,26027.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,network-suite,20,128,6,6500000,6600000,0,0,32542.0,36025.0,46.608999999999995,213274.305,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,33017.0,35028.0,33107.0,35842.0,32702.0,35506.0,32552.999999999996,34832.0,33379.0,35995.0,,,,,,,,,,,,,,,,,,,,,,
72,network-suite,14,1024,1,3300000,3300000,0,0,12959.0,16376.999999999998,78.033,16454.647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,network-suite,19,64,12,6500000,6600000,0,0,,,23.967,615785.7749999999,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,,,49860.0,52315.0,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,49416.0,52713.0,48808.0,50889.0,49614.0,51115.0,49108.0,51395.0,48586.0,51103.0,50011.0,51120.0
74,network-suite,18,64,12,6500000,6600000,0,0,,,84.775,607243.9839999999,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,,,48432.0,51796.0,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,47632.0,51072.0,49544.0,51972.0,48235.0,50540.0,47948.0,49360.0,48664.0,50912.0,48821.0,51877.0
75,network-suite,18,32,12,6500000,6600000,0,0,,,11.988,922493.998,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,,,76940.0,77769.0,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,77162.0,77539.0,73929.0,74416.0,75832.0,76291.0,75290.0,75574.0,77697.0,77912.0,76816.0,77296.0
76,network-suite,16,1024,1,3300000,3300000,0,0,12776.0,16471.0,101.98100000000001,16573.422000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,network-suite,20,1024,1,3300000,3300000,0,0,12526.0,17681.0,140.879,17822.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,network-suite,17,1024,1,3300000,3300000,0,0,12384.0,19859.0,176.709,20035.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,network-suite,18,512,1,6500000,6600000,0,0,24853.0,27267.0,92.95100000000001,27360.078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
