,run,nranks,epcnt,intvl,pvtcnt,drop,epoch1_wr_min,epoch1_wr_max,epoch2_wr_min,epoch2_wr_max,epoch3_wr_min,epoch3_wr_max,epoch4_wr_min,epoch4_wr_max,epoch5_wr_min,epoch5_wr_max,epoch6_wr_min,epoch6_wr_max,wr_min,wr_max,load_std,wr_dropped,epoch1_tmin,epoch1_tmax,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax,max_fin_dura,total_io_time,epoch7_wr_min,epoch7_wr_max,epoch8_wr_min,epoch8_wr_max,epoch9_wr_min,epoch9_wr_max,epoch10_wr_min,epoch10_wr_max,epoch11_wr_min,epoch11_wr_max,epoch12_wr_min,epoch12_wr_max,epoch7_tmin,epoch7_tmax,epoch8_tmin,epoch8_tmax,epoch9_tmin,epoch9_tmax,epoch10_tmin,epoch10_tmax,epoch11_tmin,epoch11_tmax,epoch12_tmin,epoch12_tmax
10,2,512,3,750000,2048,0,5700000,9700000,6000000.0,10600000.0,4200000.0,7200000.0,,,,,,,4200000,7200000,0.046,0,103331.0,103584.0,127748.0,128005.0,140184.0,140647.0,,,,,,,1196.3729999999998,373432.728,,,,,,,,,,,,,,,,,,,,,,,,
11,4,512,12,1000000,2048,0,3600000,8000000,5400000.0,10700000.0,5200000.0,11200000.0,2500000.0,8500000.0,2600000.0,9300000.0,5700000.0,9500000.0,5100000,9000000,0.043,0,98038.0,98968.0,137074.0,138035.0,121070.0,121323.0,163430.0,163811.0,164492.0,164894.0,178164.0,178500.0,6711.2660000000005,1912563.764,3200000.0,8700000.0,2400000.0,8100000.0,2700000.0,8600000.0,5700000.0,9300000.0,4200000.0,10000000.0,5100000.0,9000000.0,204556.0,206695.0,183688.0,185698.0,153378.0,153796.0,165120.0,167069.0,177207.0,179108.0,147509.0,147954.0
12,6,512,12,250000,2048,0,5000000,7500000,4400000.0,8700000.0,3800000.0,8199999.0,3500000.0,7400000.0,4200000.0,7500000.0,3800000.0,8100000.0,3900000,8400000,0.027,0,147430.0,147624.0,132539.0,132743.0,119722.0,119950.0,187164.0,187370.0,151420.0,151617.0,173839.0,173993.0,5027.597,1982129.719,4000000.0,7600000.0,5300000.0,8199999.0,3500000.0,6900000.0,4400000.0,7900000.0,4700000.0,7700000.0,3900000.0,8400000.0,185642.0,185948.0,172065.0,173920.0,184780.0,186826.0,164465.0,164865.0,201074.0,201571.0,150167.0,150675.0
13,2,512,1,1000000,2048,0,5400000,11500000,,,,,,,,,,,5400000,11500000,0.063,0,74373.0,81538.0,,,,,,,,,,,20527.826,102065.956,,,,,,,,,,,,,,,,,,,,,,,,
14,4,512,12,250000,2048,0,3800000,7600000,3500000.0,7300000.0,4900000.0,8300000.0,3800000.0,7200000.0,4700000.0,7600000.0,3500000.0,11800000.0,5500000,8400000,0.021,0,114968.0,115113.0,149116.0,149363.0,136858.0,137237.0,166638.0,166930.0,155936.0,156202.0,135036.0,135403.0,728.03,1849902.452,4099999.0,7700000.0,3700000.0,7100000.0,4099999.0,6900000.0,4300000.0,7900000.0,4700000.0,8400000.0,5500000.0,8400000.0,137317.0,137778.0,153528.0,154070.0,166159.0,166409.0,170775.0,171000.0,187255.0,187553.0,171947.0,172118.0
15,1,512,6,750000,2048,0,4000000,11000000,5400000.0,10800000.0,3700000.0,9600000.0,6000000.0,10600000.0,3200000.0,11600000.0,5900000.0,10200000.0,5900000,10200000,0.047,0,94955.0,95146.0,141345.0,141642.0,143579.0,143834.0,142154.0,142494.0,153684.0,154027.0,140763.0,141156.0,19033.452,837332.813,,,,,,,,,,,,,,,,,,,,,,,,
16,1,512,6,1000000,2048,0,3800000,9100000,4000000.0,9000000.0,2800000.0,7600000.0,5600000.0,11100000.0,6000000.0,11000000.0,5000000.0,9700000.0,5000000,9700000,0.056,0,95625.0,95917.0,120769.0,121193.0,135301.0,135565.0,118369.0,118652.0,134832.0,135182.0,126138.0,126448.0,781.341,733738.991,,,,,,,,,,,,,,,,,,,,,,,,
17,4,512,12,500000,2048,0,4099999,8600000,5000000.0,9000000.0,3400000.0,9200000.0,3800000.0,8000000.0,3900000.0,7300000.0,3500000.0,7500000.0,4099999,7400000,0.057,0,103482.0,103735.0,125410.0,125951.0,128789.99999999999,129345.0,188306.0,188752.0,225999.0,226463.0,171422.0,171798.0,715.702,1956151.964,3800000.0,7700000.0,4400000.0,8300000.0,6100000.0,11800000.0,3200000.0,7400000.0,5200000.0,9100000.0,4099999.0,7400000.0,191424.0,191972.0,160275.0,160679.0,153503.0,155521.0,157365.0,159360.0,179448.0,179644.0,161977.0,162216.0
18,2,512,3,1000000,2048,0,5400000,10000000,5900000.0,11100000.0,4900000.0,11300000.0,,,,,,,4900000,11300000,0.073,0,94759.0,94927.0,145062.0,145273.0,116739.0,117038.0,,,,,,,661.006,357898.461,,,,,,,,,,,,,,,,,,,,,,,,
19,1,512,1,1000000,2048,0,5300000,9300000,,,,,,,,,,,5300000,9300000,0.045,0,69679.0,73569.0,,,,,,,,,,,32190.426000000003,105759.857,,,,,,,,,,,,,,,,,,,,,,,,
20,1,512,12,750000,2048,0,6200000,11300000,5900000.0,9800000.0,4200000.0,12200000.0,4099999.0,11000000.0,5900000.0,10700000.0,4700000.0,9100000.0,3200000,10500000,0.042,0,82451.0,86924.0,152830.0,157591.0,130759.99999999999,131194.0,148827.0,149655.0,165751.0,166528.0,192634.0,194723.0,3835.183,1843394.619,6100000.0,10900000.0,2800000.0,8199999.0,2700000.0,9500000.0,4900000.0,7700000.0,2600000.0,13700000.0,3200000.0,10500000.0,147535.0,151057.0,157302.0,159290.0,165870.0,166084.0,163862.0,164772.0,137755.0,138703.0,172678.0,173039.0
21,5,512,12,250000,2048,0,4900000,7800000,4200000.0,8400000.0,4400000.0,9400000.0,4900000.0,8199999.0,4200000.0,7300000.0,4400000.0,10000000.0,4500000,6800000,0.024,0,87789.0,93713.0,102477.0,114357.0,113106.0,119081.0,110983.0,111458.0,119903.0,120371.0,152861.0,153085.0,891.015,1736616.356,3700000.0,7500000.0,4200000.0,10400000.0,4000000.0,7500000.0,4300000.0,8199999.0,3400000.0,8600000.0,4500000.0,6800000.0,144967.0,145301.0,179623.0,180379.0,163645.0,164490.0,193377.0,193800.0,178159.0,180202.0,157606.0,159488.0
22,3,512,12,1000000,2048,0,4000000,9600000,5500000.0,9400000.0,2900000.0,8199999.0,4900000.0,8900000.0,5100000.0,10500000.0,4000000.0,10100000.0,3500000,7900000,0.039,0,97787.0,98021.0,125249.0,125542.0,126114.0,126332.0,127405.0,127755.0,141278.0,141651.0,154688.0,154881.0,7273.389,1603081.965,3100000.0,8400000.0,3300000.0,12100000.0,5300000.0,8300000.0,3700000.0,7600000.0,5200000.0,11000000.0,3500000.0,7900000.0,132316.0,132547.0,129247.00000000001,129559.0,119281.0,119518.0,128217.00000000001,128520.00000000001,149820.0,150181.0,160813.0,161301.0
