,runtype,run,nranks,epcnt,intvl,pvtcnt,epoch1_wr_min,epoch1_wr_max,epoch2_wr_min,epoch2_wr_max,epoch3_wr_min,epoch3_wr_max,epoch4_wr_min,epoch4_wr_max,epoch5_wr_min,epoch5_wr_max,epoch6_wr_min,epoch6_wr_max,load_std,wr_dropped,epoch1_tmin,epoch1_tmax,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax,max_fin_dura,total_io_time
54,carp-suite-interepoch,11,128,6,3,2048,4300000,7200000,4300000.0,7200000.0,4300000.0,7200000.0,4700000.0,7600000.0,4700000.0,7600000.0,4700000.0,7600000.0,0.05,0,38496.0,38589.0,38092.0,38249.0,36664.0,36755.0,38916.0,39042.0,36682.0,36766.0,37436.0,37551.0,366.20599999999996,227318.04
55,carp-suite-interepoch,11,256,3,1,2048,6200000,9300000,4900000.0,8400000.0,5000000.0,8300000.0,,,,,,,0.048,0,30832.0,30947.0,30417.0,30561.0,33625.0,33914.0,,,,,,,35866.765999999996,131289.629
56,carp-suite-interepoch-nowrite,11,1024,1,3,2048,171100,4099999,,,,,,,,,,,0.341,0,59804.0,74281.0,,,,,,,,,,,6592.552000000001,80873.86600000001
57,carp-suite-interepoch-nowrite,11,512,1,3,2048,203700,10500000,,,,,,,,,,,0.513,0,51969.0,61226.0,,,,,,,,,,,18478.093,79704.251
58,carp-suite-interepoch-nowrite,11,128,6,1,2048,6200000,8400000,3500000.0,7100000.0,3400000.0,7200000.0,5100000.0,8300000.0,5600000.0,7900000.0,4800000.0,7600000.0,0.04,0,35284.0,35415.0,34786.0,34881.0,34772.0,34927.0,36603.0,36737.0,40242.0,40391.0,36948.0,37102.0,1.556,219455.95700000002
59,carp-suite-interepoch-nowrite,11,512,1,1,2048,183000,11500000,,,,,,,,,,,0.541,0,33572.0,33737.0,,,,,,,,,,,1.997,33739.222
60,carp-suite-interepoch-nowrite,11,1024,1,1,2048,184000,4200000,,,,,,,,,,,0.328,0,18401.0,18640.0,,,,,,,,,,,3.518,18643.471
61,carp-suite-interepoch-nowrite,11,256,3,3,2048,6200000,9400000,6200000.0,9400000.0,6200000.0,9400000.0,,,,,,,0.055,0,32192.999999999996,32323.999999999996,33304.0,33429.0,38460.0,38587.0,,,,,,,22871.752,127212.01000000001
62,carp-suite-interepoch-nowrite,11,128,6,3,2048,4400000,7400000,4400000.0,7400000.0,4400000.0,7400000.0,6300000.0,8500000.0,6300000.0,8500000.0,6300000.0,8500000.0,0.045,0,38830.0,38899.0,37360.0,37474.0,36278.0,36385.0,37981.0,38148.0,36788.0,36899.0,37202.0,37321.0,270.98499999999996,225397.017
63,carp-suite-interepoch-nowrite,11,256,3,1,2048,6100000,9200000,6200000.0,9400000.0,5100000.0,8500000.0,,,,,,,0.053,0,27365.0,27515.0,31731.0,31903.0,27903.0,28029.0,,,,,,,2.056,87448.652
