,runtype,run,nranks,epcnt,epoch1_wr_min,epoch1_wr_max,epoch2_wr_min,epoch2_wr_max,epoch3_wr_min,epoch3_wr_max,epoch4_wr_min,epoch4_wr_max,epoch5_wr_min,epoch5_wr_max,epoch6_wr_min,epoch6_wr_max,epoch7_wr_min,epoch7_wr_max,epoch8_wr_min,epoch8_wr_max,epoch9_wr_min,epoch9_wr_max,epoch10_wr_min,epoch10_wr_max,load_std,wr_dropped,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax,epoch7_tmin,epoch7_tmax,epoch8_tmin,epoch8_tmax,epoch9_tmin,epoch9_tmax,epoch10_tmin,epoch10_tmax,epoch11_tmin,epoch11_tmax,epoch12_tmin,epoch12_tmax,max_fin_dura,total_io_time,epoch3_tmin,epoch3_tmax,epoch11_wr_min,epoch11_wr_max,epoch2_tmin,epoch2_tmax,epoch12_wr_min,epoch12_wr_max,epoch1_tmin,epoch1_tmax
35,network-suite,1,128,12,6500000,6600000,6500000,6600000,6500000,6600000,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,28771.0,30805.0,28397.0,32592.0,29086.0,32711.0,30079.0,31684.0,29438.0,32521.0,29165.0,32485.999999999996,28343.0,32771.0,28621.0,31818.0,28653.0,31355.0,1.078,386147.54099999997,,,,,,,,,,
36,dfs-reg-suite,3,256,12,6500000,6600000,6500000,6600000,6500000,6600000,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,23098.0,26148.0,24790.0,27408.0,23921.0,26236.0,23392.0,28606.0,22696.0,25873.0,23344.0,25073.0,23420.0,28164.0,23514.0,26469.0,23926.0,27441.0,24035.668999999998,343324.406,23165.0,25429.0,6500000.0,6600000.0,24401.0,26873.0,6500000.0,6600000.0,,
37,dfs-reg-suite,3,512,12,6500000,6700000,6400000,7200000,5900000,6900000,6200000,7200000,5900000.0,7200000.0,5900000.0,7000000.0,6100000.0,6600000.0,6500000.0,7300000.0,5800000.0,13100000.0,5900000.0,7200000.0,0,0,51168.0,63081.0,85109.0,115246.0,76626.0,108770.0,63823.0,121220.0,49113.0,73349.0,70574.0,85775.0,85660.0,117687.0,73760.0,111642.0,76525.0,106977.0,24068.559,1076373.412,45525.0,69453.0,5900000.0,7200000.0,22549.0,30742.0,5900000.0,13100000.0,,
38,dfs-reg-suite,3,128,12,6500000,6600000,6500000,6600000,6500000,6600000,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,32101.999999999996,35104.0,33105.0,35007.0,33101.0,35269.0,31969.0,34846.0,32011.000000000004,35712.0,31645.0,34280.0,32464.0,34373.0,30498.0,34086.0,31646.0,34913.0,3039.154,422355.479,,,,,,,,,,
39,dfs-reg-suite,2,512,12,6300000,7100000,6000000,6700000,6400000,7200000,5900000,13100000,6500000.0,7200000.0,5900000.0,7200000.0,5900000.0,7200000.0,5900000.0,7200000.0,5900000.0,7200000.0,5900000.0,6600000.0,0,0,43356.0,58024.0,46087.0,78022.0,77180.0,132823.0,68228.0,74444.0,85590.0,110207.0,88785.0,115625.0,76358.0,96157.0,78600.0,103678.0,84530.0,102396.0,19989.956,1038569.955,,,,,,,,,,
40,dfs-reg-suite,3,32,12,6500000,6600000,6500000,6600000,6500000,6600000,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,79206.0,79574.0,74191.0,74732.0,76031.0,76707.0,76764.0,76978.0,73765.0,74285.0,77375.0,77720.0,78669.0,79206.0,73716.0,74532.0,75843.0,75913.0,77.664,918049.0,75305.0,75447.0,,,,,,,,
41,dfs-reg-suite,3,16,12,6500000,6600000,6500000,6600000,6500000,6600000,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,11832.0,11850.0,11390.0,11407.0,11565.0,11603.0,11307.0,11331.0,11466.0,11485.0,11371.0,11406.0,11524.0,11557.0,11359.0,11374.0,11468.0,11487.0,59.666999999999994,138398.446,12064.0,12084.0,6500000.0,6600000.0,12183.0,12200.0,,,,
42,dfs-reg-suite,3,64,12,6500000,6600000,6500000,6600000,6500000,6600000,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,47624.0,48986.0,46073.0,48944.0,47988.0,49461.0,47043.0,48155.0,47354.0,49050.0,47071.0,48797.0,47208.0,50713.0,47429.0,49011.0,46981.0,48443.0,159.116,586872.103,,,,,,,,,,
43,dfs-reg-suite,1,64,12,6500000,6600000,6500000,6600000,6500000,6600000,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,46666.0,47819.0,47788.0,50173.0,46665.0,49192.0,47561.0,50250.0,46426.0,50532.0,47371.0,48470.0,48369.0,49271.0,46603.0,48387.0,47907.0,48996.0,141.457,597897.511,,,,,,,,,,
44,dfs-reg-suite,2,32,12,6500000,6600000,6500000,6600000,6500000,6600000,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,74454.0,74778.0,73364.0,75245.0,74614.0,75402.0,74247.0,74673.0,73854.0,74270.0,75932.0,76896.0,73286.0,73445.0,73370.0,73752.0,73259.0,74611.0,168.284,903603.43,,,,,,,,,,
