,runtype,nranks,epcnt,intvl,pvtcnt,run,total_io_time,load_std
127,carp-suite-intraepoch-nowrite,128,6,1000000,1024,11,223,0.066
135,carp-suite-intraepoch-nowrite,128,6,1000000,2048,11,224,0.056
181,carp-suite-intraepoch-nowrite,256,3,750000,512,11,106,0.071
161,carp-suite-intraepoch-nowrite,256,3,750000,512,12,100,0.076
178,carp-suite-intraepoch-nowrite,256,3,750000,512,13,100,0.085
134,carp-suite-intraepoch-nowrite,256,3,750000,512,14,94,0.083
169,carp-suite-intraepoch-nowrite,256,3,750000,512,15,104,0.091
123,carp-suite-intraepoch-nowrite,256,3,750000,512,16,107,0.079
187,carp-suite-intraepoch-nowrite,256,3,750000,512,17,97,0.076
188,carp-suite-intraepoch-nowrite,256,3,750000,512,18,100,0.046
130,carp-suite-intraepoch-nowrite,256,3,750000,512,19,101,0.07
163,carp-suite-intraepoch-nowrite,256,3,750000,512,20,103,0.077
155,carp-suite-intraepoch-nowrite,256,3,750000,1024,11,129,0.06
147,carp-suite-intraepoch-nowrite,256,3,750000,2048,11,110,0.057
143,carp-suite-intraepoch-nowrite,256,3,1000000,512,11,130,0.053
144,carp-suite-intraepoch-nowrite,256,3,1000000,1024,11,155,0.046
152,carp-suite-intraepoch-nowrite,256,3,1000000,2048,11,112,0.05
166,carp-suite-intraepoch-nowrite,512,1,750000,512,11,32,0.059
133,carp-suite-intraepoch-nowrite,512,1,750000,512,12,33,0.062
179,carp-suite-intraepoch-nowrite,512,1,750000,512,13,34,0.065
122,carp-suite-intraepoch-nowrite,512,1,750000,512,14,28,0.065
126,carp-suite-intraepoch-nowrite,512,1,750000,512,15,31,0.066
149,carp-suite-intraepoch-nowrite,512,1,750000,512,16,33,0.067
171,carp-suite-intraepoch-nowrite,512,1,750000,512,17,32,0.061
164,carp-suite-intraepoch-nowrite,512,1,750000,512,18,31,0.07
121,carp-suite-intraepoch-nowrite,512,1,750000,512,19,32,0.054
124,carp-suite-intraepoch-nowrite,512,1,750000,512,20,29,0.053
170,carp-suite-intraepoch-nowrite,512,1,750000,1024,11,90,0.295
142,carp-suite-intraepoch-nowrite,512,1,750000,2048,11,91,0.558
189,carp-suite-intraepoch-nowrite,512,1,1000000,512,11,94,0.463
172,carp-suite-intraepoch-nowrite,512,1,1000000,1024,11,92,0.577
153,carp-suite-intraepoch-nowrite,512,1,1000000,2048,11,89,0.467
140,carp-suite-intraepoch-nowrite,1024,1,750000,512,11,22,0.082
150,carp-suite-intraepoch-nowrite,1024,1,750000,512,12,21,0.067
137,carp-suite-intraepoch-nowrite,1024,1,750000,512,13,19,0.143
176,carp-suite-intraepoch-nowrite,1024,1,750000,512,14,19,0.062
